Month	Year	Snowfall
12	1933	1.6
1	1934	26.7
2	1934	13.1
3	1934	2.1
4	1934	1.9
5	1934	0.0
6	1934	0.0
7	1934	0.0
8	1934	0.0
9	1934	0.0
10	1934	0.0
11	1934	1.0
12	1934	0.3
1	1935	13.2
2	1935	12.6
3	1935	2.9
4	1935	0.0
5	1935	0.0
6	1935	0.0
7	1935	0.0
8	1935	0.0
9	1935	0.0
10	1935	0.0
11	1935	4.4
12	1935	0.7
1	1936	2.0
2	1936	0.0
3	1936	1.9
4	1936	0.0
5	1936	0.0
6	1936	0.0
7	1936	0.0
8	1936	0.0
9	1936	0.0
10	1936	0.0
11	1936	0.3
12	1936	4.6
1	1937	33.6
2	1937	10.0
3	1937	0.3
4	1937	0.9
5	1937	0.9
6	1937	0.0
7	1937	0.0
8	1937	0.0
9	1937	0.0
10	1937	0.0
11	1937	10.0
12	1937	1.4
1	1938	7.5
2	1938	4.7
3	1938	16.5
4	1938	0.2
5	1938	0.0
6	1938	0.0
7	1938	0.0
8	1938	0.0
9	1938	0.0
10	1938	0.0
11	1938	1.0
12	1938	6.5
1	1939	4.6
2	1939	23.8
3	1939	0.3
4	1939	1.5
5	1939	0.0
6	1939	0.0
7	1939	0.0
8	1939	0.0
9	1939	0.0
10	1939	0.0
11	1939	8.5
12	1939	4.5
1	1940	20.4
2	1940	1.3
3	1940	13.1
4	1940	0.0
5	1940	0.0
6	1940	0.0
7	1940	0.0
8	1940	0.0
9	1940	0.0
10	1940	0.0
11	1940	0.0
12	1940	0.2
1	1941	8.2
2	1941	6.2
3	1941	7.9
4	1941	1.5
5	1941	0.0
6	1941	0.0
7	1941	0.0
8	1941	0.0
9	1941	0.0
10	1941	0.0
11	1941	0.0
12	1941	6.8
1	1942	26.4
2	1942	4.5
3	1942	8.0
4	1942	0.0
5	1942	0.0
6	1942	0.0
7	1942	0.0
8	1942	0.0
9	1942	0.0
10	1942	0.0
11	1942	0.0
12	1942	0.3
1	1943	5.1
2	1943	9.6
3	1943	12.7
4	1943	0.0
5	1943	0.0
6	1943	0.0
7	1943	0.0
8	1943	0.0
9	1943	0.0
10	1943	0.0
11	1943	1.2
12	1943	6.9
1	1944	24.3
2	1944	26.3
3	1944	0.5
4	1944	0.0
5	1944	0.0
6	1944	0.0
7	1944	0.0
8	1944	0.0
9	1944	0.0
10	1944	0.0
11	1944	4.9
12	1944	24.6
1	1945	9.8
2	1945	9.8
3	1945	0.2
4	1945	1.5
5	1945	0.0
6	1945	0.0
7	1945	0.0
8	1945	0.0
9	1945	0.0
10	1945	0.0
11	1945	0.0
12	1945	4.9
1	1946	4.0
2	1946	9.0
3	1946	0.9
4	1946	0.6
5	1946	0.0
6	1946	0.0
7	1946	0.0
8	1946	0.0
9	1946	0.0
10	1946	0.0
11	1946	1.1
12	1946	26.8
1	1947	32.5
2	1947	17.0
3	1947	11.8
4	1947	0.0
5	1947	0.0
6	1947	0.0
7	1947	0.0
8	1947	0.0
9	1947	0.0
10	1947	0.0
11	1947	1.1
12	1947	5.5
1	1948	13.7
2	1948	6.9
3	1948	9.9
4	1948	0.0
5	1948	0.0
6	1948	0.0
7	1948	0.0
8	1948	0.0
9	1948	0.0
10	1948	0.0
11	1948	1.4
12	1948	2.4
1	1949	7.9
2	1949	15.2
3	1949	5.1
4	1949	0.0
5	1949	0.0
6	1949	0.0
7	1949	0.0
8	1949	0.0
9	1949	0.0
10	1949	0.0
11	1949	0.0
12	1949	2.7
1	1950	13.9
2	1950	9.2
3	1950	3.9
4	1950	0.0
5	1950	0.0
6	1950	0.0
7	1950	0.0
8	1950	0.0
9	1950	0.0
10	1950	0.0
11	1950	0.0
12	1950	8.4
1	1951	10.7
2	1951	19.1
3	1951	1.4
4	1951	0.0
5	1951	0.0
6	1951	0.0
7	1951	0.0
8	1951	0.0
9	1951	0.0
10	1951	0.0
11	1951	0.0
12	1951	2.4
1	1952	13.6
2	1952	11.4
3	1952	0.2
4	1952	2.2
5	1952	0.0
6	1952	0.0
7	1952	0.0
8	1952	0.0
9	1952	0.0
10	1952	0.0
11	1952	0.0
12	1952	0.0
1	1953	19.2
2	1953	1.9
3	1953	0.4
4	1953	2.1
5	1953	0.0
6	1953	0.0
7	1953	0.0
8	1953	0.0
9	1953	0.0
10	1953	0.0
11	1953	0.0
12	1953	10.3
1	1954	0.9
2	1954	6.5
3	1954	7.0
4	1954	0.4
5	1954	0.0
6	1954	0.0
7	1954	0.0
8	1954	0.0
9	1954	0.0
10	1954	0.0
11	1954	2.5
12	1954	1.8
1	1955	7.7
2	1955	14.5
3	1955	31.2
4	1955	3.2
5	1955	0.0
6	1955	0.0
7	1955	0.0
8	1955	0.0
9	1955	0.0
10	1955	0.0
11	1955	0.6
12	1955	15.4
1	1956	20.6
2	1956	2.8
3	1956	11.5
4	1956	1.1
5	1956	0.0
6	1956	0.0
7	1956	0.0
8	1956	0.0
9	1956	0.0
10	1956	0.0
11	1956	0.1
12	1956	0.0
1	1957	6.6
2	1957	23.9
3	1957	12.0
4	1957	2.1
5	1957	0.0
6	1957	0.0
7	1957	0.0
8	1957	0.0
9	1957	0.0
10	1957	0.0
11	1957	0.1
12	1957	4.6
1	1958	4.1
2	1958	10.7
3	1958	14.6
4	1958	0.0
5	1958	0.0
6	1958	0.0
7	1958	0.0
8	1958	0.0
9	1958	0.0
10	1958	0.0
11	1958	0.6
12	1958	5.5
1	1959	10.2
2	1959	2.3
3	1959	22.3
4	1959	0.0
5	1959	0.0
6	1959	0.0
7	1959	0.0
8	1959	0.0
9	1959	0.0
10	1959	0.0
11	1959	0.0
12	1959	16.9
1	1960	18.7
2	1960	14.9
3	1960	9.0
4	1960	2.0
5	1960	0.0
6	1960	0.0
7	1960	0.0
8	1960	0.0
9	1960	0.0
10	1960	0.0
11	1960	0.9
12	1960	11.4
1	1961	2.5
2	1961	28.7
3	1961	1.1
4	1961	0.1
5	1961	0.0
6	1961	0.0
7	1961	0.0
8	1961	0.0
9	1961	0.0
10	1961	0.0
11	1961	0.9
12	1961	5.3
1	1962	6.5
2	1962	4.6
3	1962	13.6
4	1962	0.0
5	1962	0.0
6	1962	0.0
7	1962	0.0
8	1962	0.0
9	1962	0.0
10	1962	0.0
11	1962	0.0
12	1962	17.7
1	1963	14.4
2	1963	23.2
3	1963	7.7
4	1963	0.0
5	1963	0.0
6	1963	0.0
7	1963	0.0
8	1963	0.0
9	1963	0.0
10	1963	0.0
11	1963	0.0
12	1963	12.2
1	1964	22.2
2	1964	4.7
3	1964	9.7
4	1964	1.6
5	1964	0.0
6	1964	0.0
7	1964	0.0
8	1964	0.0
9	1964	0.0
10	1964	0.0
11	1964	0.0
12	1964	2.3
1	1965	26.4
2	1965	12.1
3	1965	3.3
4	1965	0.0
5	1965	0.0
6	1965	0.0
7	1965	0.0
8	1965	0.0
9	1965	0.0
10	1965	0.0
11	1965	0.0
12	1965	9.9
1	1966	0.5
2	1966	23.5
3	1966	22.9
4	1966	3.3
5	1966	0.0
6	1966	0.0
7	1966	0.0
8	1966	0.0
9	1966	0.0
10	1966	0.0
11	1966	2.2
12	1966	14.7
1	1967	17.7
2	1967	3.4
3	1967	6.8
4	1967	0.0
5	1967	0.0
6	1967	0.0
7	1967	0.0
8	1967	0.0
9	1967	0.0
10	1967	0.0
11	1967	0.4
12	1967	5.1
1	1968	0.9
2	1968	41.3
3	1968	6.1
4	1968	0.0
5	1968	0.0
6	1968	0.0
7	1968	0.0
8	1968	0.0
9	1968	0.0
10	1968	0.0
11	1968	0.0
12	1968	12.6
1	1969	7.4
2	1969	10.5
3	1969	18.2
4	1969	0.1
5	1969	0.0
6	1969	0.0
7	1969	0.0
8	1969	0.0
9	1969	0.0
10	1969	0.0
11	1969	0.0
12	1969	27.9
1	1970	12.0
2	1970	8.1
3	1970	7.4
4	1970	1.9
5	1970	0.0
6	1970	0.0
7	1970	0.0
8	1970	0.0
9	1970	0.0
10	1970	0.0
11	1970	2.8
12	1970	7.9
1	1971	7.8
2	1971	16.5
3	1971	12.1
4	1971	0.4
5	1971	0.0
6	1971	0.0
7	1971	0.0
8	1971	0.0
9	1971	0.0
10	1971	0.0
11	1971	0.6
12	1971	3.3
1	1972	3.6
2	1972	2.5
3	1972	0.3
4	1972	0.0
5	1972	0.0
6	1972	0.0
7	1972	0.0
8	1972	0.0
9	1972	0.0
10	1972	0.0
11	1972	0.0
12	1972	0.0
1	1973	16.0
2	1973	17.8
3	1973	0.1
4	1973	3.0
5	1973	0.0
6	1973	0.0
7	1973	0.0
8	1973	0.0
9	1973	0.0
10	1973	0.0
11	1973	2.0
12	1973	3.6
1	1974	2.2
2	1974	17.0
3	1974	1.8
4	1974	1.0
5	1974	0.0
6	1974	0.0
7	1974	0.0
8	1974	0.0
9	1974	0.0
10	1974	0.0
11	1974	0.1
12	1974	19.3
1	1975	15.0
2	1975	1.4
3	1975	10.8
4	1975	0.0
5	1975	0.0
6	1975	0.0
7	1975	0.0
8	1975	0.0
9	1975	0.0
10	1975	0.0
11	1975	1.0
12	1975	17.2
1	1976	23.2
2	1976	5.9
3	1976	10.7
4	1976	0.0
5	1976	0.5
6	1976	0.0
7	1976	0.0
8	1976	0.0
9	1976	0.0
10	1976	0.0
11	1976	0.7
12	1976	5.2
1	1977	35.9
2	1977	27.2
3	1977	16.1
4	1977	0.0
5	1977	0.0
6	1977	0.0
7	1977	0.0
8	1977	0.0
9	1977	0.0
10	1977	0.0
11	1977	4.2
12	1977	5.8
1	1978	10.5
2	1978	6.6
3	1978	0.0
4	1978	0.4
5	1978	0.0
6	1978	0.0
7	1978	0.0
8	1978	0.0
9	1978	0.0
10	1978	0.2
11	1978	0.0
12	1978	2.0
1	1979	0.4
2	1979	6.5
3	1979	3.6
4	1979	0.0
5	1979	0.0
6	1979	0.0
7	1979	0.0
8	1979	0.0
9	1979	0.0
10	1979	0.0
11	1979	2.4
12	1979	5.6
1	1980	11.9
2	1980	1.9
3	1980	0.5
4	1980	0.0
5	1980	0.0
6	1980	0.0
7	1980	0.0
8	1980	0.0
9	1980	0.0
10	1980	0.0
11	1980	0.0
12	1980	17.6
1	1981	18.0
2	1981	7.6
3	1981	5.3
4	1981	13.3
5	1981	0.0
6	1981	0.0
7	1981	0.0
8	1981	0.0
9	1981	0.0
10	1981	0.0
11	1981	0.0
12	1981	5.5
1	1982	4.7
2	1982	22.3
3	1982	0.2
4	1982	0.0
5	1982	0.0
6	1982	0.0
7	1982	0.0
8	1982	0.0
9	1982	0.0
10	1982	0.0
11	1982	0.0
12	1982	2.6
1	1983	21.1
2	1983	0.3
3	1983	19.0
4	1983	0.0
5	1983	0.0
6	1983	0.0
7	1983	0.0
8	1983	0.0
9	1983	0.0
10	1983	0.0
11	1983	0.0
12	1983	3.7
1	1984	7.0
2	1984	10.2
3	1984	3.7
4	1984	2.0
5	1984	0.0
6	1984	0.0
7	1984	0.0
8	1984	0.0
9	1984	0.0
10	1984	0.0
11	1984	3.0
12	1984	1.3
1	1985	0.8
2	1985	10.4
3	1985	2.6
4	1985	0.0
5	1985	0.0
6	1985	0.0
7	1985	0.0
8	1985	0.0
9	1985	0.0
10	1985	0.0
11	1985	3.5
12	1985	3.4
1	1986	24.3
2	1986	3.7
3	1986	3.5
4	1986	4.1
5	1986	0.0
6	1986	0.0
7	1986	0.0
8	1986	0.0
9	1986	0.0
10	1986	0.0
11	1986	9.0
12	1986	7.5
1	1987	17.0
2	1987	14.1
3	1987	5.0
4	1987	0.0
5	1987	0.0
6	1987	0.0
7	1987	0.0
8	1987	0.0
9	1987	0.0
10	1987	0.0
11	1987	0.0
12	1987	3.7
1	1988	1.5
2	1988	6.7
3	1988	3.2
4	1988	0.4
5	1988	0.0
6	1988	0.0
7	1988	0.0
8	1988	0.0
9	1988	0.0
10	1988	0.0
11	1988	4.5
12	1988	6.2
1	1989	7.0
2	1989	16.9
3	1989	4.1
4	1989	0.5
5	1989	0.0
6	1989	0.0
7	1989	0.0
8	1989	0.0
9	1989	0.0
10	1989	0.0
11	1989	0.0
12	1989	1.2
1	1990	11.7
2	1990	2.8
3	1990	3.4
4	1990	0.0
5	1990	0.0
6	1990	0.0
7	1990	0.0
8	1990	0.0
9	1990	0.0
10	1990	0.0
11	1990	0.0
12	1990	5.8
1	1991	0.4
2	1991	4.0
3	1991	10.8
4	1991	1.0
5	1991	0.0
6	1991	0.0
7	1991	0.0
8	1991	0.0
9	1991	0.0
10	1991	0.0
11	1991	0.6
12	1991	9.7
1	1992	12.9
2	1992	19.6
3	1992	38.9
4	1992	2.2
5	1992	0.0
6	1992	0.0
7	1992	0.0
8	1992	0.0
9	1992	0.0
10	1992	0.0
11	1992	0.0
12	1992	11.6
1	1993	33.7
2	1993	36.2
3	1993	14.8
4	1993	0.0
5	1993	0.0
6	1993	0.0
7	1993	0.0
8	1993	0.0
9	1993	0.0
10	1993	0.0
11	1993	0.1
12	1993	1.5
1	1994	4.4
2	1994	8.5
3	1994	0.4
4	1994	0.0
5	1994	0.0
6	1994	0.0
7	1994	0.0
8	1994	0.0
9	1994	0.0
10	1994	0.0
11	1994	4.1
12	1994	24.1
1	1995	39.8
2	1995	15.5
3	1995	16.8
4	1995	7.3
5	1995	0.0
6	1995	0.0
7	1995	0.0
8	1995	0.0
9	1995	0.0
10	1995	0.0
11	1995	1.8
12	1995	5.0
1	1996	9.7
2	1996	4.8
3	1996	8.2
4	1996	22.4
5	1996	0.0
6	1996	0.0
7	1996	0.0
8	1996	0.0
9	1996	0.0
10	1996	0.0
11	1996	3.9
12	1996	7.8
1	1997	10.0
2	1997	0.3
3	1997	3.6
4	1997	0.0
5	1997	0.0
6	1997	0.0
7	1997	0.0
8	1997	0.0
9	1997	0.0
10	1997	0.0
11	1997	0.0
12	1997	0.8
1	1998	16.8
2	1998	7.4
3	1998	11.4
4	1998	0.0
5	1998	0.0
6	1998	0.0
7	1998	0.0
8	1998	0.0
9	1998	0.0
10	1998	0.0
11	1998	0.0
12	1998	0.0
1	1999	13.7
2	1999	9.2
3	1999	2.0
4	1999	0.0
5	1999	0.0
6	1999	0.0
7	1999	0.0
8	1999	0.0
9	1999	0.0
10	1999	0.0
11	1999	0.0
12	1999	4.5
1	2000	12.4
2	2000	9.8
3	2000	19.2
4	2000	0.0
5	2000	0.0
6	2000	0.0
7	2000	0.0
8	2000	0.0
9	2000	0.0
10	2000	0.0
11	2000	0.0
12	2000	5.0
1	2001	7.9
2	2001	0.5
3	2001	1.4
4	2001	0.3
5	2001	0.0
6	2001	0.0
7	2001	0.0
8	2001	0.0
9	2001	0.0
